web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622314450-4130","https://www.bi.go.id/bisaid","Mardani","https://www.bi.go.id/bisaid/bisaid/Detail?pm=tMVrjaPYKXUx0dRoscOZnw==&mp=LhrIHvxx5uWPOvZTrS6CKw==","","Usaha Utama  :","Produk Utama :","RT/RW   

                                        Kelurahan  Kecamatan  Kabupaten  Provinsi  

                                        Telp :  Fax :","","","","0,00 %","0,00 %","","Rp. 0,00 Juta","Rp. 0,00 Juta","%/Tahun","Rp. 0,00 Juta","Rp. 0,00 Juta",""
"1622316131-4663","https://www.bi.go.id/bisaid","Industri Tempe Kuswanto","https://www.bi.go.id/bisaid/bisaid/Detail?pm=KNoKNfX7o/5kr2KnX61Rag==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Industri Tempe Kuswanto","Usaha Utama  : Pengolahan Tempe","Produk Utama : Tempe","Cipinang Pulo Maja RT/RW  2/11/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAKARTA TIMUR Provinsi DKI JAKARTA 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 33,50 Juta","Rp. 133,92 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 20,00 Juta","4"
"1622315529-4476","https://www.bi.go.id/bisaid","Sumi Colection","https://www.bi.go.id/bisaid/bisaid/Detail?pm=LqIHF5pSZe0frbQUUNG/Uw==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Sumi Colection","Usaha Utama  : Pembuatan Pakaian","Produk Utama : Seragam Sekolah","Kandea 3 Lorong 7 No. 1 RT/RW  40638 

                                        Kelurahan - Kecamatan - Kabupaten KOTA MAKASSAR Provinsi SULAWESI SELATAN 

                                        Telp : - Fax : -","Perorangan","3","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 29,00 Juta","Rp. 60,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 100,00 Juta","4"
"1622316997-4938","https://www.bi.go.id/bisaid","Yuni Batik","https://www.bi.go.id/bisaid/bisaid/Detail?pm=7e0AnFUvHPGuRTSQ/ibKEQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Yuni Batik","Usaha Utama  : Pembuatan Topeng","Produk Utama : Topeng","Depokan RT/RW  40726 

                                        Kelurahan - Kecamatan - Kabupaten KOTA YOGYAKARTA Provinsi DI YOGYAKARTA 

                                        Telp : - Fax : -","Perorangan","10","Retail dan Distributor","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Sedang","Rp. 26,00 Juta","Rp. 90,00 Juta","50 %/Tahun","Rp. 5,00 Juta","Rp. 15,00 Juta","5"
"1622316218-4691","https://www.bi.go.id/bisaid","Katon Ragil","https://www.bi.go.id/bisaid/bisaid/Detail?pm=XbEm36R+aAFPgeD6uZcGiA==&mp=2BbfzMJpZb2nANZ3GT30ng==","Katon Ragil","Usaha Utama  : Pengrajin Sepatu","Produk Utama : Sepatu","Jl. Onto Seno RT/RW  40650 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN KEDIRI Provinsi JAWA TIMUR 

                                        Telp : - Fax : -","Perorangan","5","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Sedang","Rp. 33,90 Juta","Rp. 590,40 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 0,00 Juta","-"
"1622316376-4742","https://www.bi.go.id/bisaid","Langgeng Jaya","https://www.bi.go.id/bisaid/bisaid/Detail?pm=dNJE3IifYjvssMBZbLVeig==&mp=LhrIHvxx5uWPOvZTrS6CKw==","","Usaha Utama  :","Produk Utama :","RT/RW   

                                        Kelurahan  Kecamatan  Kabupaten  Provinsi  

                                        Telp :  Fax :","","","","0,00 %","0,00 %","","Rp. 0,00 Juta","Rp. 0,00 Juta","%/Tahun","Rp. 0,00 Juta","Rp. 0,00 Juta",""
"1622315474-4460","https://www.bi.go.id/bisaid","UD Akor","https://www.bi.go.id/bisaid/bisaid/Detail?pm=8qdKFTrDIWqtpYUXhOCMXA==&mp=LhrIHvxx5uWPOvZTrS6CKw==","UD Akor","Usaha Utama  : Pembuatan furniture","Produk Utama : -","Platuk Donomulyo No 31 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SURABAYA Provinsi JAWA TIMUR 

                                        Telp : - Fax : -","Usaha Dagang (UD)","6","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 1.292,50 Juta","Rp. 244,00 Juta","30 %/Tahun","Rp. 5,04 Juta","Rp. 17,00 Juta","6"
"1622314542-4160","https://www.bi.go.id/bisaid","Oleh-Oleh Kita","https://www.bi.go.id/bisaid/bisaid/Detail?pm=3rS61tBHf4OHHO8TIRaedQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Oleh-Oleh Kita","Usaha Utama  : Pembuatan Kue Kering","Produk Utama : Kue Kering","Sei Datuk RT/RW  3/5/2020 

                                        Kelurahan KIJANG KOTA Kecamatan BINTAN TIMUR Kabupaten LAINNYA Provinsi KEPULAUAN RIAU 

                                        Telp : - Fax : -","Perorangan","3","Retail dan Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 486,00 Juta","Rp. 90,00 Juta","- %/Tahun","Rp. 0,00 Juta","Rp. 250,00 Juta","5"
"1622315895-4588","https://www.bi.go.id/bisaid","Sejati Rotan","https://www.bi.go.id/bisaid/bisaid/Detail?pm=DUEoRFDpRN+jAaZ5Gqwghg==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Sejati Rotan","Usaha Utama  : Pembuatan Barang Kerajinan","Produk Utama : Kerajinan Rotan","Raya Sakah RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN GIANYAR Provinsi BALI 

                                        Telp : - Fax : -","Perorangan","2","Retail dan Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   20,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   80,00 %","Tinggi","Rp. 23,00 Juta","Rp. 145,00 Juta","5 %/Tahun","Rp. 5,00 Juta","Rp. 0,00 Juta","3"
"1622314812-4254","https://www.bi.go.id/bisaid","Jaran Craft","https://www.bi.go.id/bisaid/bisaid/Detail?pm=AjoWYhPubWKFZX5ZfZgcFg==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Jaran Craft","Usaha Utama  : Pembuatan Handle Tas","Produk Utama : Handle Tas","Madubronto No 45 RT/RW  18/03 

                                        Kelurahan - Kecamatan - Kabupaten KOTA YOGYAKARTA Provinsi DI YOGYAKARTA 

                                        Telp : - Fax : -","Perorangan","10","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Tinggi","Rp. 242,35 Juta","Rp. 192,00 Juta","25 %/Tahun","Rp. 10,00 Juta","Rp. 8,00 Juta","7"
"1622315580-4492","https://www.bi.go.id/bisaid","Tahu Dan Tempe Barokah","https://www.bi.go.id/bisaid/bisaid/Detail?pm=MVerwRf5ZXvntwGBBpeD5g==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Tahu Dan Tempe Barokah","Usaha Utama  : Pembuatan Tempe Dan Tahu","Produk Utama : Tempe Dan Tahu","Batu Galing RT/RW  1/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN REJANG LEBONG Provinsi BENGKULU 

                                        Telp : 81373947736 Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 5,98 Juta","Rp. 225,00 Juta","10 %/Tahun","Rp. 0,00 Juta","Rp. 75,00 Juta","7"
"1622316730-4855","https://www.bi.go.id/bisaid","Pengerajin Parang","https://www.bi.go.id/bisaid/bisaid/Detail?pm=4VOHf5MuZSsTGtbEd0j1ww==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Pengerajin Parang","Usaha Utama  : Pengerajin Paraang","Produk Utama : Parang, Pisau,kapak","Arah Desa Bonia RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN NIAS SELATAN Provinsi SUMATERA UTARA 

                                        Telp : 0 Fax : -","Perorangan","8","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 206,00 Juta","Rp. 40,00 Juta","20 %/Tahun","Rp. 0,00 Juta","Rp. 200,00 Juta","2"
"1622314530-4156","https://www.bi.go.id/bisaid","Saur Beyza","https://www.bi.go.id/bisaid/bisaid/Detail?pm=k9fpFhYE+Gb5+kW35QdRWg==&mp=5JdvraNzQnzSzI+hC9alEQ==","Saur Beyza","Usaha Utama  : Makanan Olahan","Produk Utama : Basreng","Jl. Melong Kaler No. 7 RT/RW  3/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BANDUNG Provinsi JAWA BARAT 

                                        Telp : - Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tinggi","Rp. 7,50 Juta","Rp. 12,00 Juta","- %/Tahun","Rp. 4,00 Juta","Rp. 3,00 Juta","1"
"1622315016-4321","https://www.bi.go.id/bisaid","DeRis","https://www.bi.go.id/bisaid/bisaid/Detail?pm=UPSmMGpyuNA9GIvnTW6NZw==&mp=LhrIHvxx5uWPOvZTrS6CKw==","DeRis","Usaha Utama  : Pembuatan Pastri, Cake & kue kering","Produk Utama : Pastri, Cake & kue kering","Ciawi tali Gg. Awiwulung no. 227 RT/RW  40672 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BANDUNG Provinsi JAWA BARAT 

                                        Telp : - Fax : -","Perorangan","5","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Tinggi","Rp. 250,50 Juta","Rp. 108,00 Juta","61 %/Tahun","Rp. 0,00 Juta","Rp. 235,00 Juta","5"
"1622314440-4127","https://www.bi.go.id/bisaid","Rumah Kue Roro","https://www.bi.go.id/bisaid/bisaid/Detail?pm=FWTidAlkxh5IbRWSvXmlcQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Rumah Kue Roro","Usaha Utama  : Kue","Produk Utama : Kue","Perum Bambu Kuning Blok B 19 No 29 RT/RW  4/1/2020 

                                        Kelurahan BUKIT TEMPAYAN Kecamatan BATU AJI Kabupaten KOTA B A T A M Provinsi KEPULAUAN RIAU 

                                        Telp : - Fax : -","Perorangan","2","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Sedang","Rp. 19,15 Juta","Rp. 130,00 Juta","- %/Tahun","Rp. 8,00 Juta","Rp. 11,50 Juta","5"
"1622317284-5025","https://www.bi.go.id/bisaid","Darul Foto Copy","https://www.bi.go.id/bisaid/bisaid/Detail?pm=S9PXyylEisOi8Ze91OQS1w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Darul Foto Copy","Usaha Utama  : Foto Copy","Produk Utama : Jilid, Laminating, Pengetikan.","Basuki Rahmat RT/RW  3/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SORONG Provinsi PAPUA BARAT 

                                        Telp : 85244115092 Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 70,00 Juta","Rp. 110,00 Juta","20 %/Tahun","Rp. 0,00 Juta","Rp. 15,00 Juta","6"
"1622316172-4676","https://www.bi.go.id/bisaid","Bengkel Las ATS","https://www.bi.go.id/bisaid/bisaid/Detail?pm=gmIPvReOCrW31UIe2M3+Dg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Bengkel Las ATS","Usaha Utama  : Industri Pengelasan","Produk Utama : Pagar, Terali, Kanopi, Pintu Ruko,dll","Basuki Rahmat RT/RW  4/5/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SORONG Provinsi PAPUA BARAT 

                                        Telp : 82199469236 Fax : -","Perorangan","3","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Rendah","Rp. 115,00 Juta","Rp. 232,00 Juta","30 %/Tahun","Rp. 0,00 Juta","Rp. 420,00 Juta","9"
"1622315948-4605","https://www.bi.go.id/bisaid","Aktuil Taylor","https://www.bi.go.id/bisaid/bisaid/Detail?pm=oysQo/hqKOAFuf968KzOdQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Aktuil Taylor","Usaha Utama  : Pembuatan pakaian","Produk Utama : Seragam Dinas","Raya Wonokromo B-20 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SURABAYA Provinsi JAWA TIMUR 

                                        Telp : - Fax : -","Perorangan","4","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 64,50 Juta","Rp. 103,00 Juta","20 %/Tahun","Rp. 9,00 Juta","Rp. 30,00 Juta","5"
"1622314539-4159","https://www.bi.go.id/bisaid","Kerajinan Lidi","https://www.bi.go.id/bisaid/bisaid/Detail?pm=HTIYmO807IIIiZLqwy2Euw==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Kerajinan Lidi","Usaha Utama  : Pembuatan Sapu","Produk Utama : Kerajinan Lidi","Kurau Timur RT/RW  0/0 

                                        Kelurahan - Kecamatan KOBA Kabupaten KABUPATEN BANGKA TENGAH Provinsi KEPULAUAN BANGKA BELITUNG 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 2,00 Juta","Rp. 19,20 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 100,00 Juta","2"
"1622316121-4660","https://www.bi.go.id/bisaid","Industri Tempe Nurhadi","https://www.bi.go.id/bisaid/bisaid/Detail?pm=ujONcxgqmtws8VwREohq6Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Industri Tempe Nurhadi","Usaha Utama  : Pengolahan Tempe","Produk Utama : Tempe","Cipinang Pulo Maja RT/RW  10/11/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAKARTA TIMUR Provinsi DKI JAKARTA 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 176,50 Juta","Rp. 259,20 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 160,00 Juta","4"
"1622315439-4449","https://www.bi.go.id/bisaid","Penjahit Rossa","https://www.bi.go.id/bisaid/bisaid/Detail?pm=xsT3cBRBcghEb1LqFobjNw==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Penjahit Rossa","Usaha Utama  : Pembuatan Pakaian","Produk Utama : Pakaian","Cumi-Cumi  No.41 RT/RW  40576 

                                        Kelurahan - Kecamatan - Kabupaten KOTA MAKASSAR Provinsi SULAWESI SELATAN 

                                        Telp : - Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Sedang","Rp. 313,00 Juta","Rp. 52,80 Juta","10 %/Tahun","Rp. 0,00 Juta","Rp. 218,00 Juta","8"
"1622317119-4976","https://www.bi.go.id/bisaid","Ima Brownies","https://www.bi.go.id/bisaid/bisaid/Detail?pm=paiiKPCkZe+12r80p7dOZQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Ima Brownies","Usaha Utama  : Pembuatan Busana Muslim, Kebaya","Produk Utama : Busana Muslim, Kebaya","Jl.Coklat I No 12 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA MEDAN Provinsi SUMATERA UTARA 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Tinggi","Rp. 60,00 Juta","Rp. 960,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 100,00 Juta","4"
"1622315367-4427","https://www.bi.go.id/bisaid","Pia Kacang","https://www.bi.go.id/bisaid/bisaid/Detail?pm=YIfATnJJAZA2MNmmimSCig==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Pia Kacang","Usaha Utama  : Pia Kacang","Produk Utama : Pia Kacang","karya Abri No.53 RT/RW  -/- 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN MANOKWARI Provinsi PAPUA BARAT 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 37,00 Juta","Rp. 55,00 Juta","30 %/Tahun","Rp. 0,00 Juta","Rp. 0,00 Juta","3"
"1622315421-4443","https://www.bi.go.id/bisaid","Karya Agung","https://www.bi.go.id/bisaid/bisaid/Detail?pm=CLS6xmQ4Sozto36+AzyKBg==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Karya Agung","Usaha Utama  : Bahan Bangunan","Produk Utama : Kusen","Kp. Empang RT/RW  12/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN TASIKMALAYA Provinsi JAWA BARAT 

                                        Telp : - Fax : -","Perorangan","5","Retail dan Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   10,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   90,00 %","Tinggi","Rp. 374,60 Juta","Rp. 168,00 Juta","20 %/Tahun","Rp. 0,00 Juta","Rp. 45,00 Juta","8"
