web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622321673-5736","https://www.bi.go.id/bisaid","Fortuna Jeans","https://www.bi.go.id/bisaid/bisaid/Detail?pm=BsPIT3AgBlW9ufZLWqlrjQ==&mp=fOhzApotY5QnAtxxXvjAfA==","Fortuna Jeans","Usaha Utama  : Jasa Jahit","Produk Utama : Jasa Jahit","Batupuru RT/RW  4/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN LAMPUNG SELATAN Provinsi LAMPUNG 

                                        Telp : - Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Rendah","Rp. 24,00 Juta","Rp. 116,00 Juta","10 %/Tahun","Rp. 8,00 Juta","Rp. 120,00 Juta","6"
"1622321824-5769","https://www.bi.go.id/bisaid","Penjahit HUDA","https://www.bi.go.id/bisaid/bisaid/Detail?pm=iE7xxiL6YSQQ6P4ea6v3ng==&mp=JHuIBacQ7Iz+a8xx8lclUA==","Penjahit HUDA","Usaha Utama  : Jahit Pakaian","Produk Utama : Pakaian","Pasar Tridatu RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN LAMPUNG TIMUR Provinsi LAMPUNG 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 14,50 Juta","Rp. 36,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 10,00 Juta","4"
"1622321740-5749","https://www.bi.go.id/bisaid","Penjahit Sahabat","https://www.bi.go.id/bisaid/bisaid/Detail?pm=6QMsNfWVQ4RXwZOuV7I1hg==&mp=fOhzApotY5QnAtxxXvjAfA==","Penjahit Sahabat","Usaha Utama  : Penjahit","Produk Utama : Pakaian","Kapt. Piere Tendean RT/RW  11/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PASER Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","4","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 6,50 Juta","Rp. 180,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 14,00 Juta","4"
"1622321572-5721","https://www.bi.go.id/bisaid","Rana Cell","https://www.bi.go.id/bisaid/bisaid/Detail?pm=Hf1C4ii5e6Wuf5hnNqyWJA==&mp=2BbfzMJpZb2nANZ3GT30ng==","Rana Cell","Usaha Utama  : Service Handphone","Produk Utama : Service Handphone","Jl. Dr. Soetomo RT/RW  40640 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN OGAN KOMERING ULU Provinsi SUMATERA SELATAN 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Tinggi","Rp. 93,50 Juta","Rp. 22,00 Juta","13 %/Tahun","Rp. 5,00 Juta","Rp. 60,00 Juta","4"
"1622321468-5698","https://www.bi.go.id/bisaid","Tailor Arto Moro","https://www.bi.go.id/bisaid/bisaid/Detail?pm=1IO++oEqVlHpxp380asksA==&mp=5JdvraNzQnzSzI+hC9alEQ==","Tailor Arto Moro","Usaha Utama  : Penjahit","Produk Utama : Kain Dan Pakaian","Petung RT/RW  02/ 

                                        Kelurahan - Kecamatan PENAJAM Kabupaten KABUPATEN PENAJAM PASER UTARA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tinggi","Rp. 33,00 Juta","Rp. 24,00 Juta","- %/Tahun","Rp. 9,50 Juta","Rp. 16,00 Juta","3"
"1622321687-5739","https://www.bi.go.id/bisaid","Warnet Erin","https://www.bi.go.id/bisaid/bisaid/Detail?pm=f+5LoZRzoeWN9Kv6WyDFvg==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Warnet Erin","Usaha Utama  : Warnet","Produk Utama : Jasa Internet","Merawan RT/RW  00/00 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BENGKULU Provinsi BENGKULU 

                                        Telp : 89632966668 Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 54,50 Juta","Rp. 54,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 14,00 Juta","3"
"1622321736-5748","https://www.bi.go.id/bisaid","UMMI PONSEL","https://www.bi.go.id/bisaid/bisaid/Detail?pm=tMAJnqSJ33YXsTdzuDae9A==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","UMMI PONSEL","Usaha Utama  : SERVICE HP","Produk Utama : SPARE PERT","BANDA ACEH MEDAN RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN ACEH TIMUR Provinsi ACEH 

                                        Telp : 877476877444 Fax : -","Perorangan","2","Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Sedang","Rp. 425,00 Juta","Rp. 138,00 Juta","5 %/Tahun","Rp. 5,00 Juta","Rp. 440,00 Juta","5"
"1622321700-5742","https://www.bi.go.id/bisaid","Service Ganumba","https://www.bi.go.id/bisaid/bisaid/Detail?pm=iP3TX9mA9AWtlV8LVVyPqA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Service Ganumba","Usaha Utama  : Service Dinamo","Produk Utama : Service","Diponegoro RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN NIAS SELATAN Provinsi SUMATERA UTARA 

                                        Telp : 0 Fax : -","Perorangan","3","Distributor","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tinggi","Rp. 114,00 Juta","Rp. 60,00 Juta","20 %/Tahun","Rp. 5,00 Juta","Rp. 110,00 Juta","5"
"1622321602-5728","https://www.bi.go.id/bisaid","PENJAHIT ALFAD","https://www.bi.go.id/bisaid/bisaid/Detail?pm=HjZKEJjKQbil84GBqv+XTg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","PENJAHIT ALFAD","Usaha Utama  : PENJAHITAN","Produk Utama : JASA PENJAHITAN","SANTO PEDRO SAMPING MASJID UBBUDIN RT/RW  00/00 

                                        Kelurahan - Kecamatan - Kabupaten KOTA TERNATE Provinsi MALUKU UTARA 

                                        Telp : TIDAK ADA  Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 52,00 Juta","Rp. 112,00 Juta","35 %/Tahun","Rp. 10,00 Juta","Rp. 37,00 Juta","5"
"1622321746-5750","https://www.bi.go.id/bisaid","Bengkel Las Oki Muba","https://www.bi.go.id/bisaid/bisaid/Detail?pm=xqCSO5fGuY3fpJlQvUoTGA==&mp=JHuIBacQ7Iz+a8xx8lclUA==","Bengkel Las Oki Muba","Usaha Utama  : Bengkel Las","Produk Utama : Jasa Bengkel Las","Gubernur H. Bastari RT/RW  11/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA PALEMBANG Provinsi SUMATERA SELATAN 

                                        Telp : 0711-517671 Fax : -","Perorangan","2","Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Sedang","Rp. 46,50 Juta","Rp. 204,00 Juta","20 %/Tahun","Rp. 9,00 Juta","Rp. 907,00 Juta","7"
"1622321518-5710","https://www.bi.go.id/bisaid","Caing Salon","https://www.bi.go.id/bisaid/bisaid/Detail?pm=ufUZhB6ZJKd9VKIp2TS+Ug==&mp=Bjv3m4lcInn46OWc4jy6kQ==","","Usaha Utama  :","Produk Utama :","RT/RW   

                                        Kelurahan  Kecamatan  Kabupaten  Provinsi  

                                        Telp :  Fax :","","","","0,00 %","0,00 %","","Rp. 0,00 Juta","Rp. 0,00 Juta","%/Tahun","Rp. 0,00 Juta","Rp. 0,00 Juta",""
"1622321827-5770","https://www.bi.go.id/bisaid","PAY BK","https://www.bi.go.id/bisaid/bisaid/Detail?pm=m4DOBnazufQFCWdQYvL0gQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==","PAY BK","Usaha Utama  : PLAT BK","Produk Utama : PLAT BK","MESJID NO.21 RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KOTA TANJUNG BALAI Provinsi SUMATERA UTARA 

                                        Telp : 8561155355 Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 68,71 Juta","Rp. 87,00 Juta","5 %/Tahun","Rp. 10,00 Juta","Rp. 130,00 Juta","6"
"1622321715-5745","https://www.bi.go.id/bisaid","Suarni Dakhi Taylor","https://www.bi.go.id/bisaid/bisaid/Detail?pm=Jv7XXihqQCqmA27dsAyKXQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Suarni Dakhi Taylor","Usaha Utama  : Penjahit","Produk Utama : Celana, Baju Wanita","Pekan Hilisimaetnao RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN NIAS SELATAN Provinsi SUMATERA UTARA 

                                        Telp : 0 Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   20,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   80,00 %","Sedang","Rp. 131,00 Juta","Rp. 20,00 Juta","20 %/Tahun","Rp. 3,00 Juta","Rp. 125,00 Juta","3"
"1622321580-5723","https://www.bi.go.id/bisaid","BERDIKARI OVEN TOBELO","https://www.bi.go.id/bisaid/bisaid/Detail?pm=0JBLfPqwIFDmi5g4JcpzUg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","BERDIKARI OVEN TOBELO","Usaha Utama  : PEMBUATAN OVEN KUE","Produk Utama : OVEN KUE","LAPANGAN KARIANGAN  RT/RW  1/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN HALMAHERA UTARA Provinsi MALUKU UTARA 

                                        Telp : TIDAK ADA  Fax : -","Perorangan","4","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Rendah","Rp. 396,00 Juta","Rp. 600,00 Juta","50 %/Tahun","Rp. 0,00 Juta","Rp. 247,00 Juta","8"
"1622321605-5729","https://www.bi.go.id/bisaid","Tambal Ban Siburian","https://www.bi.go.id/bisaid/bisaid/Detail?pm=StJV36wnWYqLFEqES3jGaw==&mp=fOhzApotY5QnAtxxXvjAfA==","Tambal Ban Siburian","Usaha Utama  : Tambal Ban","Produk Utama : Tambal Ban","Raya Natar RT/RW  2/6/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN LAMPUNG SELATAN Provinsi LAMPUNG 

                                        Telp : 81279317550 Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 45,00 Juta","Rp. 127,00 Juta","10 %/Tahun","Rp. 8,00 Juta","Rp. 70,00 Juta","5"
"1622321802-5762","https://www.bi.go.id/bisaid","Dinda Salon","https://www.bi.go.id/bisaid/bisaid/Detail?pm=/L91VCACxNuLm+Qg29hXnQ==&mp=fOhzApotY5QnAtxxXvjAfA==","Dinda Salon","Usaha Utama  : Salon","Produk Utama : Pangkas Rambut,creambath","Sultan Alaudin No.3 RT/RW  1/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 2,50 Juta","Rp. 24,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 60,00 Juta","5"
"1622321696-5741","https://www.bi.go.id/bisaid","Alone Net","https://www.bi.go.id/bisaid/bisaid/Detail?pm=xjBaNAURnYT+DRQe7C9F4w==&mp=JHuIBacQ7Iz+a8xx8lclUA==","Alone Net","Usaha Utama  : Jasa Warnet","Produk Utama : Warnet","Margorejo RT/RW  8/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA METRO Provinsi LAMPUNG 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Tinggi","Rp. 159,00 Juta","Rp. 48,00 Juta","20 %/Tahun","Rp. 7,50 Juta","Rp. 10,00 Juta","3"
"1622321812-5765","https://www.bi.go.id/bisaid","Pangkas Rambut Kaganangan","https://www.bi.go.id/bisaid/bisaid/Detail?pm=DtMvNUvxtEeIjOLTvbtvgw==&mp=fOhzApotY5QnAtxxXvjAfA==","Pangkas Rambut Kaganangan","Usaha Utama  : Pangkas Rambut","Produk Utama : Pangkas Rambut","Al Makmur No.7 RT/RW  40/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tinggi","Rp. 55,60 Juta","Rp. 36,00 Juta","10 %/Tahun","Rp. 5,00 Juta","Rp. 6,00 Juta","5"
"1622321532-5713","https://www.bi.go.id/bisaid","Bengkel Las Langgeng","https://www.bi.go.id/bisaid/bisaid/Detail?pm=k8BSigRNaB7ONZ5Altu69Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Bengkel Las Langgeng","Usaha Utama  : Bengkel Las","Produk Utama : Tralis Dan Cerobong Besi","Ahmad Yani Pal 21 Tamansari RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PESAWARAN Provinsi LAMPUNG 

                                        Telp : - Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tinggi","Rp. 27,00 Juta","Rp. 50,00 Juta","10 %/Tahun","Rp. 5,00 Juta","Rp. 10,00 Juta","7"
"1622321799-5761","https://www.bi.go.id/bisaid","Robana Tailor","https://www.bi.go.id/bisaid/bisaid/Detail?pm=IIsNJKYqTR6Zn3Iw9wlo5Q==&mp=fOhzApotY5QnAtxxXvjAfA==","Robana Tailor","Usaha Utama  : Penjahit","Produk Utama : Baju Jadi","Gn.4 No.37 RT/RW  14/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 475,80 Juta","Rp. 13,50 Juta","15 %/Tahun","Rp. 10,00 Juta","Rp. 25,00 Juta","5"
"1622321496-5705","https://www.bi.go.id/bisaid","Penjahit Harapan Jaya","https://www.bi.go.id/bisaid/bisaid/Detail?pm=EraBFBWiGxX38y3oyMD8OA==&mp=fOhzApotY5QnAtxxXvjAfA==","Penjahit Harapan Jaya","Usaha Utama  : Jasa Jahit","Produk Utama : Penjahit Pakaian","Piru RT/RW  00/00 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN SERAM BAGIAN BARAT Provinsi MALUKU 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Tidak Ada   0,00 %","Sedang","Rp. 44,00 Juta","Rp. 36,00 Juta","40 %/Tahun","Rp. 8,00 Juta","Rp. 0,00 Juta","3"
"1622321617-5731","https://www.bi.go.id/bisaid","Usaha Fotokopi","https://www.bi.go.id/bisaid/bisaid/Detail?pm=277UsXysXcMcBeJUtZk8nQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==","Usaha Fotokopi","Usaha Utama  : Usaha Fotokopi","Produk Utama : Fotokopian","Lintas Timur RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN LAMPUNG TIMUR Provinsi LAMPUNG 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 21,00 Juta","Rp. 70,00 Juta","15 %/Tahun","Rp. 10,00 Juta","Rp. 107,00 Juta","5"
"1622321539-5715","https://www.bi.go.id/bisaid","PENJAHIT METRO","https://www.bi.go.id/bisaid/bisaid/Detail?pm=JV0j4UIGS800pLF3ItvSaw==&mp=Bjv3m4lcInn46OWc4jy6kQ==","PENJAHIT METRO","Usaha Utama  : PENJAHITAN","Produk Utama : JAHITAN","SARANANI RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KOTA KENDARI Provinsi SULAWESI TENGGARA 

                                        Telp : - Fax : -","Perorangan","11","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 113,60 Juta","Rp. 300,00 Juta","40 %/Tahun","Rp. 0,00 Juta","Rp. 86,00 Juta","2"
"1622321558-5719","https://www.bi.go.id/bisaid","Salon Fitri","https://www.bi.go.id/bisaid/bisaid/Detail?pm=qOkTbrj8tj9vWWku7He25g==&mp=JHuIBacQ7Iz+a8xx8lclUA==","Salon Fitri","Usaha Utama  : Salon","Produk Utama : Salon Laki-laki Dan Perempuan","Buntu No 5 B RT/RW  40642 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN TANGERANG Provinsi JAWA TIMUR 

                                        Telp : 92281624 Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 23,50 Juta","Rp. 98,00 Juta","25 %/Tahun","Rp. 10,00 Juta","Rp. 114,00 Juta","-"
