URL,Nama,Kategori,Usaha Utama,Produk Utama,Provinsi,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset (Juta),Penjualan Rata-Rata (Juta/Tahun),Proyeksi Pertumbuhan Penjualan (%/Tahun),Kebutuhan Pembiayaan Kredit (Juta),Nilai Aset Jaminan Kredit (Juta),Jumlah Dokumen Persyaratan Kredit
https://www.bi.go.id/bisaid/bisaid/Detail?pm=LqIHF5pSZe0frbQUUNG/Uw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Sumi Colection,Industri Pengolahan,Pembuatan Pakaian,Seragam Sekolah,Sulawesi selatan,"Kandea 3 Lorong 7 No. 1 RT/RW  40638 

                                        Kelurahan - Kecamatan - Kabupaten KOTA MAKASSAR Provinsi SULAWESI SELATAN 

                                        Telp : - Fax : -",Perorangan,3.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,29.00,60.00,10,10.00,100.00,4
https://www.bi.go.id/bisaid/bisaid/Detail?pm=7e0AnFUvHPGuRTSQ/ibKEQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Yuni Batik,Industri Pengolahan,Pembuatan Topeng,Topeng,Di yogyakarta,"Depokan RT/RW  40726 

                                        Kelurahan - Kecamatan - Kabupaten KOTA YOGYAKARTA Provinsi DI YOGYAKARTA 

                                        Telp : - Fax : -",Perorangan,10.0,Retail dan Distributor,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,26.00,90.00,50,5.00,15.00,5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=XbEm36R+aAFPgeD6uZcGiA==&mp=2BbfzMJpZb2nANZ3GT30ng==,Katon Ragil,Industri Pengolahan,Pengrajin Sepatu,Sepatu,Jawa timur,"Jl. Onto Seno RT/RW  40650 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN KEDIRI Provinsi JAWA TIMUR 

                                        Telp : - Fax : -",Perorangan,5.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,33.90,590.40,10,10.00,0.00,-
https://www.bi.go.id/bisaid/bisaid/Detail?pm=8qdKFTrDIWqtpYUXhOCMXA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,UD Akor,Industri Pengolahan,Pembuatan furniture,-,Jawa timur,"Platuk Donomulyo No 31 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SURABAYA Provinsi JAWA TIMUR 

                                        Telp : - Fax : -",Usaha Dagang (UD),6.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,1292.50,244.00,30,5.04,17.00,6
https://www.bi.go.id/bisaid/bisaid/Detail?pm=3rS61tBHf4OHHO8TIRaedQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Oleh-Oleh Kita,Industri Pengolahan,Pembuatan Kue Kering,Kue Kering,Kepulauan riau,"Sei Datuk RT/RW  3/5/2020 

                                        Kelurahan KIJANG KOTA Kecamatan BINTAN TIMUR Kabupaten LAINNYA Provinsi KEPULAUAN RIAU 

                                        Telp : - Fax : -",Perorangan,3.0,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,486.00,90.00,0,0.00,250.00,5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=DUEoRFDpRN+jAaZ5Gqwghg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Sejati Rotan,Industri Pengolahan,Pembuatan Barang Kerajinan,Kerajinan Rotan,Bali,"Raya Sakah RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN GIANYAR Provinsi BALI 

                                        Telp : - Fax : -",Perorangan,2.0,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   20,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   80,00 %",Tinggi,23.00,145.00,5,5.00,0.00,3
https://www.bi.go.id/bisaid/bisaid/Detail?pm=AjoWYhPubWKFZX5ZfZgcFg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Jaran Craft,Industri Pengolahan,Pembuatan Handle Tas,Handle Tas,Di yogyakarta,"Madubronto No 45 RT/RW  18/03 

                                        Kelurahan - Kecamatan - Kabupaten KOTA YOGYAKARTA Provinsi DI YOGYAKARTA 

                                        Telp : - Fax : -",Perorangan,10.0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %",Tinggi,242.35,192.00,25,10.00,8.00,7
https://www.bi.go.id/bisaid/bisaid/Detail?pm=MVerwRf5ZXvntwGBBpeD5g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Tahu Dan Tempe Barokah,Industri Pengolahan,Pembuatan Tempe Dan Tahu,Tempe Dan Tahu,Bengkulu,"Batu Galing RT/RW  1/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN REJANG LEBONG Provinsi BENGKULU 

                                        Telp : 81373947736 Fax : -",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,5.98,225.00,10,0.00,75.00,7
https://www.bi.go.id/bisaid/bisaid/Detail?pm=4VOHf5MuZSsTGtbEd0j1ww==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Pengerajin Parang,Industri Pengolahan,Pengerajin Paraang,"Parang, Pisau,kapak",Sumatera utara,"Arah Desa Bonia RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN NIAS SELATAN Provinsi SUMATERA UTARA 

                                        Telp : 0 Fax : -",Perorangan,8.0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,206.00,40.00,20,0.00,200.00,2
https://www.bi.go.id/bisaid/bisaid/Detail?pm=k9fpFhYE+Gb5+kW35QdRWg==&mp=5JdvraNzQnzSzI+hC9alEQ==,Saur Beyza,Industri Pengolahan,Makanan Olahan,Basreng,Jawa barat,"Jl. Melong Kaler No. 7 RT/RW  3/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BANDUNG Provinsi JAWA BARAT 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Tinggi,7.50,12.00,0,4.00,3.00,1
https://www.bi.go.id/bisaid/bisaid/Detail?pm=UPSmMGpyuNA9GIvnTW6NZw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,DeRis,Industri Pengolahan,"Pembuatan Pastri, Cake & kue kering","Pastri, Cake & kue kering",Jawa barat,"Ciawi tali Gg. Awiwulung no. 227 RT/RW  40672 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BANDUNG Provinsi JAWA BARAT 

                                        Telp : - Fax : -",Perorangan,5.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %",Tinggi,250.50,108.00,61,0.00,235.00,5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=FWTidAlkxh5IbRWSvXmlcQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Rumah Kue Roro,Industri Pengolahan,Kue,Kue,Kepulauan riau,"Perum Bambu Kuning Blok B 19 No 29 RT/RW  4/1/2020 

                                        Kelurahan BUKIT TEMPAYAN Kecamatan BATU AJI Kabupaten KOTA B A T A M Provinsi KEPULAUAN RIAU 

                                        Telp : - Fax : -",Perorangan,2.0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Sedang,19.15,130.00,0,8.00,11.50,5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=S9PXyylEisOi8Ze91OQS1w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Darul Foto Copy,Industri Pengolahan,Foto Copy,"Jilid, Laminating, Pengetikan.",Papua barat,"Basuki Rahmat RT/RW  3/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SORONG Provinsi PAPUA BARAT 

                                        Telp : 85244115092 Fax : -",Perorangan,1.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,70.00,110.00,20,0.00,15.00,6
https://www.bi.go.id/bisaid/bisaid/Detail?pm=gmIPvReOCrW31UIe2M3+Dg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Bengkel Las ATS,Industri Pengolahan,Industri Pengelasan,"Pagar, Terali, Kanopi, Pintu Ruko,dll",Papua barat,"Basuki Rahmat RT/RW  4/5/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SORONG Provinsi PAPUA BARAT 

                                        Telp : 82199469236 Fax : -",Perorangan,3.0,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,115.00,232.00,30,0.00,420.00,9
https://www.bi.go.id/bisaid/bisaid/Detail?pm=oysQo/hqKOAFuf968KzOdQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Aktuil Taylor,Industri Pengolahan,Pembuatan pakaian,Seragam Dinas,Jawa timur,"Raya Wonokromo B-20 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SURABAYA Provinsi JAWA TIMUR 

                                        Telp : - Fax : -",Perorangan,4.0,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,64.50,103.00,20,9.00,30.00,5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=HTIYmO807IIIiZLqwy2Euw==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kerajinan Lidi,Industri Pengolahan,Pembuatan Sapu,Kerajinan Lidi,Kepulauan bangka belitung,"Kurau Timur RT/RW  0/0 

                                        Kelurahan - Kecamatan KOBA Kabupaten KABUPATEN BANGKA TENGAH Provinsi KEPULAUAN BANGKA BELITUNG 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,2.00,19.20,0,10.00,100.00,2
https://www.bi.go.id/bisaid/bisaid/Detail?pm=ujONcxgqmtws8VwREohq6Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Tempe Nurhadi,Industri Pengolahan,Pengolahan Tempe,Tempe,Dki jakarta,"Cipinang Pulo Maja RT/RW  10/11/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAKARTA TIMUR Provinsi DKI JAKARTA 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,176.50,259.20,20,10.00,160.00,4
https://www.bi.go.id/bisaid/bisaid/Detail?pm=xsT3cBRBcghEb1LqFobjNw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penjahit Rossa,Industri Pengolahan,Pembuatan Pakaian,Pakaian,Sulawesi selatan,"Cumi-Cumi  No.41 RT/RW  40576 

                                        Kelurahan - Kecamatan - Kabupaten KOTA MAKASSAR Provinsi SULAWESI SELATAN 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,313.00,52.80,10,0.00,218.00,8
https://www.bi.go.id/bisaid/bisaid/Detail?pm=paiiKPCkZe+12r80p7dOZQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Ima Brownies,Industri Pengolahan,"Pembuatan Busana Muslim, Kebaya","Busana Muslim, Kebaya",Sumatera utara,"Jl.Coklat I No 12 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA MEDAN Provinsi SUMATERA UTARA 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,60.00,960.00,20,10.00,100.00,4
https://www.bi.go.id/bisaid/bisaid/Detail?pm=YIfATnJJAZA2MNmmimSCig==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Pia Kacang,Industri Pengolahan,Pia Kacang,Pia Kacang,Papua barat,"karya Abri No.53 RT/RW  -/- 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN MANOKWARI Provinsi PAPUA BARAT 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,37.00,55.00,30,0.00,0.00,3
https://www.bi.go.id/bisaid/bisaid/Detail?pm=CLS6xmQ4Sozto36+AzyKBg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Karya Agung,Industri Pengolahan,Bahan Bangunan,Kusen,Jawa barat,"Kp. Empang RT/RW  12/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN TASIKMALAYA Provinsi JAWA BARAT 

                                        Telp : - Fax : -",Perorangan,5.0,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   10,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   90,00 %",Tinggi,374.60,168.00,20,0.00,45.00,8
https://www.bi.go.id/bisaid/bisaid/Detail?pm=rVT3AgV9qubguFBGUNc2BQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Arif Sangkar Burung,Industri Pengolahan,Sangkar Burung,Sangkar Burung,Lampung,"Padmosari RT/RW  10/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN LAMPUNG SELATAN Provinsi LAMPUNG 

                                        Telp : 82375233646 Fax : -",Perorangan,6.0,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   60,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   40,00 %",Tinggi,52.40,64.00,10,8.00,80.00,4
https://www.bi.go.id/bisaid/bisaid/Detail?pm=NheVe/F/rOD6xo1sw7oerA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Arief Souvenir,Industri Pengolahan,Pembuatan Fiber Glass,Fiber Glass,Di yogyakarta,"Mataram No. 44 RT/RW  37/13 

                                        Kelurahan - Kecamatan - Kabupaten KOTA YOGYAKARTA Provinsi DI YOGYAKARTA 

                                        Telp : - Fax : -",Perorangan,15.0,Retail dan Distributor,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Sedang,820.25,120.00,10,0.00,500.00,10
https://www.bi.go.id/bisaid/bisaid/Detail?pm=TFfgVLp2S1RRq4q2F4JoqQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Cendol Kasrani,Industri Pengolahan,Cendol,Cendol,Kalimantan timur,"Senaken RT/RW  11/ 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PASER Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,1.80,60.00,0,5.00,700.00,3
https://www.bi.go.id/bisaid/bisaid/Detail?pm=BteBAUYUAdLY7zNKhJ2twQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Usaha Karak,Industri Pengolahan,Pembuatan Karak,Karak,Jawa tengah,"Karanggayam RT/RW  1/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BOYOLALI Provinsi JAWA TENGAH 

                                        Telp : - Fax : -",Perorangan,5.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,5000000.00,12.00,25,4.00,4.00,4
https://www.bi.go.id/bisaid/bisaid/Detail?pm=gLfZas/x4uDbE0bhzUz7og==&mp=fOhzApotY5QnAtxxXvjAfA==,Bata Expres,Industri Pengolahan,Bata,Bata,Kalimantan timur,"R.A Kartini RT/RW  4/11/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PASER Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -",Perorangan,4.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Rendah,43.00,360.00,10,10.00,10.00,5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=rB+aMiig+AnJTXOtzvFJuw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Monalia Co.,Industri Pengolahan,Pembuatan Gordyn,Gordyn,Jawa tengah,"Anjasmoro Iv No 21 RT/RW  40666 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SEMARANG Provinsi JAWA TENGAH 

                                        Telp : - Fax : -",Perorangan,14.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %",Sedang,506.00,262.00,20,10.00,464.00,7
https://www.bi.go.id/bisaid/bisaid/Detail?pm=+Ue5dDFchIsQhg+e3VFbXA==&mp=fOhzApotY5QnAtxxXvjAfA==,Andi Nurhayati,Industri Pengolahan,Tenun,Sarung Samarinda,Kalimantan timur,"Jl P Bendahara RT/RW  02/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SAMARINDA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -",Perorangan,1.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   60,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   40,00 %",Tinggi,164200000.00,59000000.00,10,5.00,70.00,3
https://www.bi.go.id/bisaid/bisaid/Detail?pm=JxE6njnssG7ghuQ+Kb/M+Q==&mp=xI6rAeQkygTAn3Z625IGLg==,Vanes Aluminium,Industri Pengolahan,Aluminium,Etalase,Bali,"Indrakilla Stat Iii No 4 RT/RW  03/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -",Perorangan,1.0,Retail,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Sedang,62.65,74.00,0,10.00,20.00,5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=usfTAGD+4aJ6fJ1eZv0SwA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Depot Air Minum Aqua Jaya,Industri Pengolahan,Depot Air Minum,Air Minum Galon,Papua barat,"Brawijaya No. 116 RT/RW  1/7/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN MANOKWARI Provinsi PAPUA BARAT 

                                        Telp : 81344433369 Fax : -",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,122.00,204.00,10,0.00,641.00,10
https://www.bi.go.id/bisaid/bisaid/Detail?pm=9MdVsqyyNpJriFBSIW0drw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Nining Collection,Industri Pengolahan,"Pembuatan Handycraft(Sulam Pita, Gordyn)","Handycraft(Sulam Pita, Gordyn)",Jawa tengah,"Nangka Barat No.6 RT/RW  40545 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SEMARANG Provinsi JAWA TENGAH 

                                        Telp : - Fax : -",Perorangan,30.0,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   90,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   10,00 %",Tinggi,395.00,100.00,80,0.00,300.00,8
